CMDLINE python3 pipeline.py
MEM 87.718750 1764810664.2946
MEM 87.718750 1764810664.3997
MEM 87.718750 1764810664.5044
MEM 87.718750 1764810664.6098
MEM 87.718750 1764810664.7113
MEM 87.718750 1764810664.8134
MEM 87.718750 1764810664.9187
MEM 87.718750 1764810665.0218
MEM 87.718750 1764810665.1225
MEM 87.718750 1764810665.2278
MEM 87.718750 1764810665.3293
MEM 87.718750 1764810665.4343
MEM 87.718750 1764810665.5396
MEM 87.718750 1764810665.6401
MEM 87.718750 1764810665.7453
MEM 87.718750 1764810665.8459
MEM 87.718750 1764810665.9495
MEM 87.718750 1764810666.0530
MEM 87.718750 1764810666.1559
MEM 87.718750 1764810666.2613
MEM 87.718750 1764810666.3639
MEM 87.718750 1764810666.4692
MEM 87.718750 1764810666.5718
MEM 87.718750 1764810666.6769
MEM 87.718750 1764810666.7820
MEM 87.718750 1764810666.8846
MEM 87.718750 1764810666.9902
MEM 87.718750 1764810667.0927
MEM 87.718750 1764810667.1979
MEM 87.718750 1764810667.3008
MEM 87.718750 1764810667.4062
MEM 87.718750 1764810667.5101
MEM 87.718750 1764810667.6116
MEM 87.718750 1764810667.7169
MEM 87.718750 1764810667.8212
MEM 87.718750 1764810667.9227
MEM 87.718750 1764810668.0274
MEM 87.718750 1764810668.1325
MEM 87.718750 1764810668.2354
MEM 87.718750 1764810668.3405
MEM 87.718750 1764810668.4457
MEM 87.718750 1764810668.5502
MEM 87.718750 1764810668.6547
MEM 87.718750 1764810668.7581
MEM 87.718750 1764810668.8633
MEM 87.718750 1764810668.9686
MEM 87.718750 1764810669.0738
MEM 87.718750 1764810669.1766
MEM 87.718750 1764810669.2819
MEM 87.718750 1764810669.3871
MEM 87.718750 1764810669.4893
MEM 87.718750 1764810669.5947
MEM 87.718750 1764810669.6992
MEM 87.718750 1764810669.8045
MEM 87.718750 1764810669.9091
MEM 87.718750 1764810670.0144
MEM 87.718750 1764810670.1154
MEM 87.718750 1764810670.2206
MEM 87.718750 1764810670.3257
MEM 87.718750 1764810670.4310
MEM 87.718750 1764810670.5343
MEM 87.718750 1764810670.6376
MEM 87.718750 1764810670.7429
MEM 87.718750 1764810670.8456
MEM 87.718750 1764810670.9508
MEM 87.718750 1764810671.0559
MEM 87.718750 1764810671.1610
MEM 87.718750 1764810671.2662
MEM 87.718750 1764810671.3665
MEM 87.718750 1764810671.4718
MEM 87.718750 1764810671.5761
MEM 87.718750 1764810671.6791
MEM 87.718750 1764810671.7844
MEM 87.718750 1764810671.8858
MEM 87.718750 1764810671.9911
MEM 87.718750 1764810672.0961
MEM 87.718750 1764810672.1980
MEM 87.718750 1764810672.3034
MEM 87.718750 1764810672.4089
MEM 87.718750 1764810672.5131
MEM 87.718750 1764810672.6148
MEM 87.718750 1764810672.7189
MEM 87.718750 1764810672.8240
MEM 87.718750 1764810672.9294
MEM 87.718750 1764810673.0342
MEM 87.718750 1764810673.1377
MEM 87.718750 1764810673.2429
MEM 87.718750 1764810673.3476
MEM 87.718750 1764810673.4478
MEM 87.718750 1764810673.5531
MEM 87.718750 1764810673.6573
MEM 87.718750 1764810673.7624
MEM 87.718750 1764810673.8662
MEM 87.718750 1764810673.9714
MEM 87.718750 1764810674.0723
MEM 87.718750 1764810674.1776
MEM 87.718750 1764810674.2829
MEM 87.718750 1764810674.3882
MEM 87.718750 1764810674.4926
MEM 87.718750 1764810674.5947
MEM 87.718750 1764810674.6999
MEM 87.718750 1764810674.8009
MEM 87.718750 1764810674.9050
MEM 87.718750 1764810675.0082
MEM 87.718750 1764810675.1119
MEM 87.718750 1764810675.2142
MEM 87.718750 1764810675.3179
MEM 87.718750 1764810675.4200
MEM 87.718750 1764810675.5211
MEM 87.718750 1764810675.6263
MEM 87.718750 1764810675.7291
MEM 87.718750 1764810675.8338
MEM 87.718750 1764810675.9371
MEM 87.718750 1764810676.0422
MEM 87.718750 1764810676.1473
MEM 87.718750 1764810676.2525
MEM 87.718750 1764810676.3572
MEM 87.718750 1764810676.4625
MEM 87.718750 1764810676.5664
MEM 87.718750 1764810676.6717
MEM 87.718750 1764810676.7721
MEM 87.718750 1764810676.8767
MEM 87.718750 1764810676.9820
MEM 87.718750 1764810677.0873
MEM 87.718750 1764810677.1915
MEM 87.718750 1764810677.2957
MEM 87.718750 1764810677.3995
MEM 87.718750 1764810677.5033
MEM 87.718750 1764810677.6049
MEM 87.718750 1764810677.7086
MEM 87.718750 1764810677.8138
MEM 87.718750 1764810677.9190
MEM 87.718750 1764810678.0210
MEM 87.718750 1764810678.1216
MEM 87.718750 1764810678.2260
MEM 87.718750 1764810678.3265
MEM 87.718750 1764810678.4320
MEM 87.718750 1764810678.5339
MEM 87.718750 1764810678.6359
MEM 87.718750 1764810678.7373
MEM 87.718750 1764810678.8387
MEM 87.718750 1764810678.9409
MEM 87.718750 1764810679.0422
MEM 87.718750 1764810679.1426
MEM 87.718750 1764810679.2450
MEM 87.718750 1764810679.3503
MEM 87.718750 1764810679.4519
MEM 87.718750 1764810679.5572
MEM 87.718750 1764810679.6625
MEM 87.718750 1764810679.7677
MEM 87.718750 1764810679.8702
MEM 87.718750 1764810679.9719
MEM 87.718750 1764810680.0760
MEM 87.718750 1764810680.1813
MEM 87.718750 1764810680.2837
MEM 87.718750 1764810680.3890
MEM 87.718750 1764810680.4941
MEM 87.718750 1764810680.5985
MEM 108.218750 1764810680.7037
MEM 125.312500 1764810680.8088
MEM 132.203125 1764810680.9131
MEM 133.390625 1764810681.0186
MEM 133.875000 1764810681.1239
MEM 134.421875 1764810681.2293
MEM 135.281250 1764810681.3318
MEM 135.906250 1764810681.4372
MEM 136.796875 1764810681.5423
MEM 137.593750 1764810681.6465
MEM 169.703125 1764810681.7515
MEM 176.078125 1764810681.8566
MEM 177.234375 1764810681.9585
MEM 198.625000 1764810682.0636
MEM 198.656250 1764810682.1672
MEM 198.718750 1764810682.2725
MEM 208.703125 1764810682.3743
MEM 209.109375 1764810682.4781
MEM 208.578125 1764810682.5832
MEM 207.906250 1764810682.6883
MEM 212.781250 1764810682.7934
MEM 217.281250 1764810682.8984
MEM 233.093750 1764810682.9994
MEM 235.265625 1764810683.1046
MEM 235.718750 1764810683.2097
MEM 239.375000 1764810683.3149
MEM 243.953125 1764810683.4200
MEM 247.328125 1764810683.5231
MEM 248.437500 1764810683.6282
MEM 252.296875 1764810683.7334
MEM 254.343750 1764810683.8363
MEM 256.765625 1764810683.9415
MEM 258.843750 1764810684.0467
MEM 264.890625 1764810684.1518
MEM 330.281250 1764810684.2570
MEM 426.953125 1764810684.3622
MEM 487.453125 1764810684.4674
MEM 539.359375 1764810684.5725
MEM 594.671875 1764810684.6777
MEM 644.078125 1764810684.7828
MEM 697.015625 1764810684.8840
MEM 750.125000 1764810684.9891
MEM 806.109375 1764810685.0923
MEM 861.890625 1764810685.1974
MEM 922.765625 1764810685.3026
MEM 981.265625 1764810685.4077
MEM 1030.859375 1764810685.5090
MEM 1080.390625 1764810685.6141
MEM 1136.187500 1764810685.7173
MEM 1191.171875 1764810685.8224
MEM 1248.859375 1764810685.9275
MEM 1303.218750 1764810686.0325
MEM 1358.234375 1764810686.1339
MEM 1409.281250 1764810686.2344
MEM 1452.843750 1764810686.3394
MEM 1493.625000 1764810686.4445
MEM 1530.718750 1764810686.5496
MEM 1567.281250 1764810686.6506
MEM 1607.187500 1764810686.7557
MEM 1645.078125 1764810686.8608
MEM 1687.343750 1764810686.9659
MEM 1727.859375 1764810687.0710
MEM 1762.421875 1764810687.1747
MEM 1799.765625 1764810687.2788
MEM 1840.703125 1764810687.3816
MEM 1877.843750 1764810687.4868
MEM 1915.375000 1764810687.5891
MEM 1952.250000 1764810687.6941
MEM 1995.546875 1764810687.7949
MEM 2050.390625 1764810687.9000
MEM 2101.671875 1764810688.0005
MEM 2158.375000 1764810688.1056
MEM 2217.812500 1764810688.2107
MEM 2270.609375 1764810688.3147
MEM 2330.750000 1764810688.4173
MEM 2389.812500 1764810688.5224
MEM 2445.562500 1764810688.6256
MEM 2504.281250 1764810688.7307
MEM 2560.234375 1764810688.8359
MEM 2607.156250 1764810688.9411
MEM 2648.093750 1764810689.0462
MEM 2685.531250 1764810689.1514
MEM 2723.000000 1764810689.2565
MEM 2761.875000 1764810689.3616
MEM 2792.875000 1764810689.4667
MEM 2824.437500 1764810689.5676
MEM 2856.375000 1764810689.6702
MEM 2890.859375 1764810689.7720
MEM 2928.750000 1764810689.8771
MEM 3342.718750 1764810689.9822
MEM 3938.859375 1764810690.0852
MEM 4532.906250 1764810690.1878
MEM 4824.765625 1764810690.2923
MEM 4884.546875 1764810690.3975
MEM 4943.125000 1764810690.5006
MEM 5003.921875 1764810690.6058
MEM 5061.046875 1764810690.7089
MEM 5121.421875 1764810690.8140
MEM 5180.125000 1764810690.9172
MEM 5236.750000 1764810691.0217
MEM 5292.625000 1764810691.1256
MEM 5345.421875 1764810691.2307
MEM 5387.953125 1764810691.3358
MEM 5423.671875 1764810691.4409
MEM 5460.859375 1764810691.5422
MEM 5499.984375 1764810691.6473
MEM 5546.500000 1764810691.7524
MEM 5589.671875 1764810691.8574
MEM 5625.015625 1764810691.9625
MEM 5663.046875 1764810692.0676
MEM 6164.218750 1764810692.1727
MEM 6710.250000 1764810692.2778
MEM 7002.406250 1764810692.3829
MEM 7038.453125 1764810692.4880
MEM 7070.421875 1764810692.5930
MEM 7107.781250 1764810692.6981
MEM 7145.578125 1764810692.8039
MEM 7180.687500 1764810692.9090
MEM 7218.437500 1764810693.0141
MEM 7257.468750 1764810693.1191
MEM 7295.921875 1764810693.2242
MEM 7328.406250 1764810693.3292
MEM 7362.421875 1764810693.4311
MEM 7394.687500 1764810693.5337
MEM 7430.578125 1764810693.6388
MEM 7488.640625 1764810693.7439
MEM 7549.203125 1764810693.8489
MEM 7602.109375 1764810693.9540
MEM 7650.671875 1764810694.0588
MEM 7700.734375 1764810694.1639
MEM 8126.609375 1764810694.2690
MEM 8502.781250 1764810694.3741
MEM 8559.609375 1764810694.4792
MEM 8617.953125 1764810694.5838
MEM 8673.125000 1764810694.6889
MEM 8728.750000 1764810694.7939
MEM 8783.281250 1764810694.8990
MEM 8839.046875 1764810695.0041
MEM 8890.875000 1764810695.1089
MEM 8942.171875 1764810695.2140
MEM 8995.640625 1764810695.3190
MEM 9047.125000 1764810695.4241
MEM 9088.796875 1764810695.5291
MEM 9119.953125 1764810695.6342
MEM 9152.765625 1764810695.7393
MEM 9187.640625 1764810695.8444
MEM 9230.609375 1764810695.9495
MEM 9278.656250 1764810696.0545
MEM 9317.609375 1764810696.1597
MEM 9357.546875 1764810696.2647
MEM 9398.984375 1764810696.3698
MEM 9443.046875 1764810696.4749
MEM 9486.187500 1764810696.5797
MEM 9529.437500 1764810696.6845
MEM 9576.546875 1764810696.7896
MEM 9627.984375 1764810696.8947
MEM 9676.875000 1764810696.9998
MEM 9722.453125 1764810697.1048
MEM 9774.828125 1764810697.2099
MEM 9820.609375 1764810697.3149
MEM 9868.921875 1764810697.4200
MEM 9913.546875 1764810697.5251
MEM 9956.750000 1764810697.6297
MEM 9999.000000 1764810697.7348
MEM 10045.453125 1764810697.8399
MEM 10092.968750 1764810697.9451
MEM 10144.625000 1764810698.0463
MEM 10198.796875 1764810698.1514
MEM 10252.781250 1764810698.2565
MEM 10304.968750 1764810698.3616
MEM 10352.656250 1764810698.4666
MEM 10405.609375 1764810698.5717
MEM 10444.359375 1764810698.6768
MEM 10478.187500 1764810698.7819
MEM 10542.453125 1764810698.8871
MEM 11166.406250 1764810698.9922
MEM 11540.062500 1764810699.0973
MEM 11583.406250 1764810699.2023
MEM 11624.375000 1764810699.3074
MEM 11667.640625 1764810699.4125
MEM 12006.031250 1764810699.5176
MEM 12074.375000 1764810699.6213
MEM 12190.546875 1764810699.7265
MEM 12885.421875 1764810699.8316
MEM 13202.796875 1764810699.9367
MEM 13485.140625 1764810700.0380
MEM 13584.968750 1764810700.1396
MEM 13584.968750 1764810700.2414
MEM 13584.968750 1764810700.3415
MEM 13558.937500 1764810700.4466
MEM 13559.687500 1764810700.5517
MEM 13602.281250 1764810700.6571
MEM 13721.843750 1764810700.7624
MEM 13795.062500 1764810700.8675
MEM 13821.828125 1764810700.9718
